1,26,2023-11-18T00:38:19+00:00,81,2024-04-26T21:35:56+00:00,2024-05-26T10:12:11+00:00
2,17,2024-05-05T00:49:11+00:00,47,2024-09-12T00:18:15+00:00,2024-04-26T13:17:54+00:00
3,85,2024-09-07T01:10:35+00:00,27,2024-07-15T23:39:40+00:00,2024-05-08T12:43:16+00:00
4,74,2024-09-20T14:34:27+00:00,67,2023-10-24T17:54:46+00:00,2024-02-09T13:32:36+00:00
5,73,2024-04-21T17:33:50+00:00,35,2024-08-21T06:00:00+00:00,2024-01-07T20:35:13+00:00
6,43,2024-05-11T11:27:23+00:00,68,2023-12-18T18:34:34+00:00,2023-11-30T01:00:30+00:00
7,5,2023-11-18T15:44:27+00:00,65,2024-09-23T01:40:08+00:00,2024-09-16T00:25:39+00:00
8,82,2024-01-11T13:04:59+00:00,50,2024-02-25T09:01:40+00:00,2023-12-21T22:51:33+00:00
9,8,2024-04-10T03:52:11+00:00,74,2024-04-22T23:45:36+00:00,2024-06-01T21:47:02+00:00
10,42,2024-03-15T23:28:02+00:00,18,2024-01-26T14:32:03+00:00,2024-03-27T05:06:53+00:00
11,74,2024-08-09T11:13:18+00:00,28,2024-07-17T08:25:31+00:00,2024-03-05T00:26:00+00:00
12,8,2023-10-10T07:19:00+00:00,89,2024-07-02T23:15:11+00:00,2024-05-21T04:57:52+00:00
13,35,2024-01-08T06:17:39+00:00,57,2023-12-04T06:03:30+00:00,2024-05-08T10:55:02+00:00
14,96,2024-08-08T21:14:19+00:00,55,2023-12-21T19:44:14+00:00,2024-05-12T22:48:36+00:00
15,74,2024-02-11T01:42:46+00:00,41,2024-02-02T20:31:38+00:00,2024-02-19T20:21:22+00:00
16,88,2024-02-13T23:59:50+00:00,70,2024-01-01T10:34:59+00:00,2023-11-23T01:22:29+00:00
17,59,2023-10-21T10:18:39+00:00,50,2024-09-04T09:49:57+00:00,2024-03-24T20:52:58+00:00
18,43,2023-09-27T17:43:23+00:00,12,2023-11-30T13:02:39+00:00,2024-03-20T16:36:02+00:00
19,19,2024-04-28T16:39:12+00:00,35,2024-01-04T12:42:01+00:00,2023-12-16T00:04:41+00:00
20,66,2023-10-29T22:22:49+00:00,13,2023-11-04T03:11:38+00:00,2023-12-20T07:13:31+00:00
21,43,2024-03-22T00:19:01+00:00,62,2024-05-29T19:32:49+00:00,2024-05-10T15:09:53+00:00
22,75,2024-06-01T17:03:24+00:00,84,2024-07-25T15:34:41+00:00,2024-02-15T13:11:54+00:00
23,86,2023-11-14T09:55:52+00:00,37,2024-05-22T06:08:26+00:00,2024-03-14T03:52:52+00:00
24,44,2024-06-26T12:24:00+00:00,77,2024-01-23T09:48:43+00:00,2024-03-20T08:38:18+00:00
25,12,2023-10-04T21:48:12+00:00,74,2024-03-02T00:45:32+00:00,2024-08-23T22:17:34+00:00
26,88,2024-07-31T02:09:44+00:00,99,2024-08-21T17:09:43+00:00,2024-06-14T00:26:10+00:00
27,40,2024-07-08T13:44:52+00:00,92,2024-08-04T13:22:07+00:00,2024-07-01T01:12:32+00:00
28,39,2024-08-03T06:53:59+00:00,57,2023-09-25T23:24:01+00:00,2023-12-10T17:27:21+00:00
29,92,2023-11-12T06:51:31+00:00,69,2024-08-21T05:19:46+00:00,2024-02-05T14:21:46+00:00
30,99,2024-02-25T09:53:47+00:00,68,2023-11-05T20:00:37+00:00,2024-06-23T01:58:29+00:00
31,11,2023-10-08T06:01:52+00:00,61,2023-10-23T14:58:01+00:00,2024-06-04T12:46:05+00:00
32,74,2024-05-17T10:30:36+00:00,99,2024-07-01T02:45:40+00:00,2024-02-04T03:50:06+00:00
33,76,2024-02-13T15:43:27+00:00,5,2024-01-28T05:44:07+00:00,2024-04-02T16:42:33+00:00
34,52,2023-12-16T10:31:24+00:00,26,2024-01-04T16:07:25+00:00,2024-09-14T08:07:33+00:00
35,78,2024-02-28T21:14:00+00:00,80,2024-02-09T04:43:57+00:00,2023-12-09T17:04:42+00:00
36,20,2024-09-06T00:14:08+00:00,8,2023-11-30T08:17:11+00:00,2023-11-26T14:56:53+00:00
37,85,2024-05-01T06:21:01+00:00,25,2024-06-29T03:33:08+00:00,2024-01-18T22:05:28+00:00
38,44,2024-08-24T08:31:54+00:00,96,2024-04-20T20:49:58+00:00,2024-03-29T02:07:10+00:00
39,6,2024-08-02T00:41:55+00:00,18,2024-01-08T19:47:25+00:00,2023-10-30T14:58:20+00:00
40,38,2023-10-05T16:29:29+00:00,54,2024-04-25T04:23:58+00:00,2024-04-02T12:15:49+00:00
41,82,2023-12-22T07:19:55+00:00,19,2024-03-02T04:16:55+00:00,2024-01-06T10:35:28+00:00
42,42,2024-01-23T10:54:26+00:00,76,2023-11-01T19:23:59+00:00,2024-03-26T07:34:13+00:00
43,6,2023-10-24T00:08:55+00:00,1,2023-09-30T19:37:54+00:00,2023-12-19T17:56:10+00:00
44,95,2024-04-05T01:12:18+00:00,87,2023-09-29T15:19:43+00:00,2024-03-23T09:12:20+00:00
45,71,2024-04-23T14:15:01+00:00,81,2023-11-27T18:38:12+00:00,2024-06-04T10:41:52+00:00
46,15,2024-02-06T12:07:41+00:00,79,2024-09-20T01:31:35+00:00,2023-10-29T10:34:10+00:00
47,22,2024-02-28T23:14:55+00:00,61,2024-06-17T20:38:54+00:00,2023-12-18T11:49:16+00:00
48,19,2024-08-15T23:56:03+00:00,56,2024-08-06T05:43:52+00:00,2024-08-22T19:13:19+00:00
49,76,2024-05-22T23:51:29+00:00,24,2024-05-06T14:25:10+00:00,2023-10-13T18:09:10+00:00
50,76,2024-05-09T11:21:42+00:00,78,2024-08-17T01:03:07+00:00,2024-06-07T01:35:28+00:00
51,100,2024-08-14T07:40:08+00:00,93,2023-11-11T12:08:18+00:00,2024-04-28T15:56:16+00:00
52,99,2024-09-10T03:24:56+00:00,79,2023-09-28T03:03:14+00:00,2024-07-03T16:44:23+00:00
53,61,2024-05-03T15:01:02+00:00,90,2023-12-08T22:56:43+00:00,2024-05-08T00:50:27+00:00
54,43,2023-10-26T11:34:45+00:00,71,2024-07-22T14:41:27+00:00,2023-09-30T10:26:46+00:00
55,55,2024-05-25T09:04:49+00:00,63,2024-06-21T19:33:57+00:00,2023-10-12T22:45:27+00:00
56,67,2024-05-07T07:33:16+00:00,79,2024-02-27T19:39:14+00:00,2024-02-22T06:26:09+00:00
